alltime_rank,song_title,artist,total_streams_billions,primary_genre,bpm,release_year,artist_country
1,Blinding Lights,The Weeknd,5.26,Synth-Pop,171,2019,Canada
2,Shape of You,Ed Sheeran,4.9,Pop/Dancehall,96,2017,UK
3,Someone You Loved,Lewis Capaldi,4.05,Pop,77,2018,UK
4,Sunflower,Post Malone & Swae Lee,3.98,Hip-Hop/Pop,93,2018,USA
5,One Dance,Drake,3.92,Afrobeats/Pop,100,2016,Canada
6,Stay,The Kid LAROI & Justin Bieber,3.87,Pop,170,2021,Australia
7,Believer,Imagine Dragons,3.76,Alt Rock,125,2017,USA
8,Rockstar,Post Malone ft. 21 Savage,3.72,Hip-Hop,159,2017,USA
9,Dance Monkey,Tones and I,3.69,Pop,98,2019,Australia
10,Happier,Marshmello & Bastille,3.65,EDM/Pop,100,2018,USA/UK
11,Senorita,Shawn Mendes & Camila Cabello,3.62,Latin Pop,117,2019,Canada/Cuba
12,Watermelon Sugar,Harry Styles,3.58,Indie Pop,95,2019,UK
13,Perfect,Ed Sheeran,3.55,Pop/Folk,95,2017,UK
14,Levitating,Dua Lipa,3.52,Nu-Disco,103,2020,UK
15,Heat Waves,Glass Animals,3.4,Indie Pop,80,2020,UK
16,Bad Guy,Billie Eilish,3.37,Electropop,135,2019,USA
17,Drivers License,Olivia Rodrigo,3.34,Pop,73,2021,USA
18,Circles,Post Malone,3.31,Pop Rap,121,2019,USA
19,Memories,Maroon 5,3.28,Pop,91,2019,USA
20,Shallow,Lady Gaga & Bradley Cooper,3.25,Pop/Country,96,2018,USA
21,As It Was,Harry Styles,3.22,Indie Pop,174,2022,UK
22,Dynamite,BTS,3.19,Pop/Funk,114,2020,South Korea
23,Flowers,Miley Cyrus,3.16,Pop,118,2023,USA
24,Counting Stars,OneRepublic,3.14,Pop Rock,122,2013,USA
25,Lucid Dreams,Juice WRLD,3.11,Emo Rap,84,2018,USA
26,Closer,The Chainsmokers ft. Halsey,3.08,EDM/Pop,95,2016,USA
27,Calm Down,Rema & Selena Gomez,3.02,Afrobeats/Pop,106,2022,Nigeria/USA
28,Anti-Hero,Taylor Swift,2.99,Indie Pop,97,2022,USA
29,Save Your Tears,The Weeknd,2.88,Synth-Pop,118,2020,Canada
30,Die For You,The Weeknd,2.86,R&B,95,2016,Canada
31,Lovely,Billie Eilish & Khalid,2.84,Indie Pop,95,2018,USA
32,Uptown Funk,Mark Ronson ft. Bruno Mars,2.53,Funk/Pop,115,2014,USA
33,Sweater Weather,The Neighbourhood,2.47,Indie Rock,124,2013,USA
34,Cruel Summer,Taylor Swift,2.72,Synth-Pop,170,2019,USA
35,Despacito,Luis Fonsi ft. Daddy Yankee,2.15,Reggaeton,178,2017,Puerto Rico
36,Havana,Camila Cabello ft. Young Thug,2.13,Latin Pop,105,2017,Cuba/USA
37,Easy On Me,Adele,2.02,Pop/Soul,62,2021,UK
38,Lose Yourself,Eminem,1.95,Hip-Hop,171,2002,USA
39,Numb,Linkin Park,1.82,Alt Rock,118,2003,USA
40,Smells Like Teen Spirit,Nirvana,1.8,Grunge,117,1991,USA
41,Espresso,Sabrina Carpenter,1.76,Pop,104,2024,USA
42,Radioactive,Imagine Dragons,1.74,Alt Rock,136,2012,USA
43,Running Up That Hill,Kate Bush,1.52,Art Pop,112,1985,UK
44,Not Like Us,Kendrick Lamar,1.5,Hip-Hop,101,2024,USA
45,good 4 u,Olivia Rodrigo,1.48,Pop Punk,166,2021,USA
46,All I Want for Christmas Is You,Mariah Carey,2.76,Holiday Pop,150,1994,USA
47,Starboy,The Weeknd ft. Daft Punk,2.62,Synth-Pop,186,2016,Canada
48,goosebumps,Travis Scott,2.59,Hip-Hop,130,2016,USA
49,7 rings,Ariana Grande,2.56,Trap Pop,140,2019,USA
50,Die With A Smile,Lady Gaga & Bruno Mars,1.84,Pop,120,2024,USA
51,Peaches,Justin Bieber,1.6,R&B/Pop,90,2021,Canada
52,Falling,Harry Styles,2.4,Pop Rock,88,2019,UK
53,Thunder,Imagine Dragons,3.49,Alt Rock,168,2017,USA
54,Bad Habits,Ed Sheeran,1.62,Synth-Pop,126,2021,UK
55,Butter,BTS,1.6,Funk/Pop,110,2021,South Korea
56,Night Changes,One Direction,2.34,Pop,82,2014,UK
57,High Hopes,Panic! At The Disco,2.32,Pop Rock,191,2018,USA
58,Riptide,Vance Joy,2.5,Indie Folk,131,2013,Australia
59,Way Down We Go,KALEO,2.29,Blues Rock,78,2016,Iceland
60,Heather,Conan Gray,2.26,Indie Pop,86,2020,USA
61,Mood,24kGoldn ft. iann dior,2.2,Pop Punk,150,2020,USA
62,Photograph,Ed Sheeran,3.45,Folk Pop,96,2014,UK
63,Love Yourself,Justin Bieber,2.93,Acoustic Pop,102,2015,Canada
64,Without Me,Halsey,2.82,Pop,130,2018,USA
65,Something Just Like This,The Chainsmokers & Coldplay,2.9,EDM/Pop,103,2017,USA/UK
66,Positions,Ariana Grande,2.65,R&B/Pop,144,2020,USA
67,Roses,SAINt JHN,3.42,Hip-Hop,98,2016,USA
68,Thinking Out Loud,Ed Sheeran,2.1,Soul/R&B,79,2014,UK
69,Wrecking Ball,Miley Cyrus,2.08,Pop Rock,72,2013,USA
70,golden hour,JVKE,2.68,Indie Pop,98,2022,USA
71,Unstoppable,Sia,2.96,Pop,84,2016,Australia
72,abcdefu,GAYLE,1.99,Pop Punk,144,2021,USA
73,Sunroof,Nicky Youre & Dazy,1.64,Indie Pop,138,2021,USA
74,Beautiful Things,Benson Boone,1.4,Pop Rock,97,2024,USA
75,middle of the night,Elley Duhé,2.7,Pop,97,2022,USA
76,Savage Love,Jawsh 685 & Jason Derulo,1.86,Pop,107,2020,NZ/USA
77,APT.,ROSE & Bruno Mars,1.66,K-Pop/Pop,145,2024,South Korea
78,Welcome To The Black Parade,My Chemical Romance,1.78,Alt Rock,64,2006,USA
79,Iris,Goo Goo Dolls,1.72,Alt Rock,77,1998,USA
80,Astronaut In The Ocean,Masked Wolf,1.7,Hip-Hop,145,2019,Australia
81,Levii's Jeans,Beyoncé ft. Post Malone,1.68,Country/Pop,106,2024,USA
82,Lose Control,Teddy Swims,1.65,R&B/Soul,90,2023,USA
83,Too Sweet,Hozier,1.63,Indie Folk,86,2024,Ireland
84,Sign of the Times,Harry Styles,2.05,Art Rock,90,2017,UK
85,Adore You,Harry Styles,1.9,Indie Pop,108,2019,UK
86,Arcade,Duncan Laurence,1.88,Indie Pop,86,2019,Netherlands
87,See You Again,Wiz Khalifa ft. Charlie Puth,1.42,Hip-Hop/Pop,80,2015,USA
