University_Name,National_Rank,Founded_Year,Institution_Type,State,Final_Score
Massachusetts Institute of Technology (MIT),1,1861,Private,MA,19.61999969482422
Columbia University,2,1754,Private,NY,18.8
Princeton University,3,1746,Private,NJ,19.35
Stanford University,4,1891,Private,CA,19.730000305175782
"University of California, Berkeley",5,1868,Public,CA,19.030000305175783
Harvard University,6,1636,Private,MA,19.39000015258789
Williams College,7,1793,Private,MA,13.429999923706054
Johns Hopkins University,8,1876,Private,MD,18.68000030517578
Yale University,9,1701,Private,CT,19.05
University of Pennsylvania,10,1740,Private,PA,19.09000015258789
Vanderbilt University,11,1873,Private,TN,17.059999847412108
