indice_global,indice_estricto,título,director,año,duración,género,rating,metascore,recaudación(M)
16,7.0,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,2023.0,140.0,Animación,8.9,86.0,0.0
17,7.0,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,2023.0,140.0,Acción,8.9,86.0,0.0
18,7.0,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,2023.0,140.0,Aventura,8.9,86.0,0.0
35,15.0,Jai Bhim,T.J. Gnanavel,2021.0,164.0,Crimen,8.8,0.0,0.0
36,15.0,Jai Bhim,T.J. Gnanavel,2021.0,164.0,Drama,8.8,0.0,0.0
37,15.0,Jai Bhim,T.J. Gnanavel,2021.0,164.0,Misterio,8.8,0.0,0.0
38,16.0,777 Charlie,Kiranraj K,2022.0,164.0,Aventura,8.8,0.0,0.0
39,16.0,777 Charlie,Kiranraj K,2022.0,164.0,Comedia,8.8,0.0,0.0
40,16.0,777 Charlie,Kiranraj K,2022.0,164.0,Drama,8.8,0.0,0.0
53,22.0,Rocketry: The Nambi Effect,Madhavan,2022.0,157.0,Biografía,8.7,0.0,0.0
54,22.0,Rocketry: The Nambi Effect,Madhavan,2022.0,157.0,Drama,8.7,0.0,0.0
55,23.0,Soorarai Pottru,Sudha Kongara,2020.0,153.0,Acción,8.7,0.0,0.0
56,23.0,Soorarai Pottru,Sudha Kongara,2020.0,153.0,Drama,8.7,0.0,0.0
89,36.0,Sita Ramam,Hanu Raghavapudi,2022.0,163.0,Acción,8.6,0.0,0.0
90,36.0,Sita Ramam,Hanu Raghavapudi,2022.0,163.0,Drama,8.6,0.0,0.0
91,36.0,Sita Ramam,Hanu Raghavapudi,2022.0,163.0,Misterio,8.6,0.0,0.0
103,41.0,Parasite,Bong Joon Ho,2019.0,132.0,Drama,8.5,96.0,53.37
104,41.0,Parasite,Bong Joon Ho,2019.0,132.0,Thriller,8.5,96.0,53.37
147,58.0,96,C. Prem Kumar,2018.0,158.0,Drama,8.5,0.0,0.0
148,58.0,96,C. Prem Kumar,2018.0,158.0,Romance,8.5,0.0,0.0
151,60.0,Spider-Man: Into the Spider-Verse,Bob Persichetti,2018.0,117.0,Animación,8.4,87.0,190.24
152,60.0,Spider-Man: Into the Spider-Verse,Bob Persichetti,2018.0,117.0,Acción,8.4,87.0,190.24
153,60.0,Spider-Man: Into the Spider-Verse,Bob Persichetti,2018.0,117.0,Aventura,8.4,87.0,190.24
154,61.0,Avengers: Endgame,Anthony Russo,2019.0,181.0,Acción,8.4,78.0,858.37
155,61.0,Avengers: Endgame,Anthony Russo,2019.0,181.0,Aventura,8.4,78.0,858.37
156,61.0,Avengers: Endgame,Anthony Russo,2019.0,181.0,Drama,8.4,78.0,858.37
165,65.0,Joker,Todd Phillips,2019.0,122.0,Crimen,8.4,59.0,335.45
166,65.0,Joker,Todd Phillips,2019.0,122.0,Drama,8.4,59.0,335.45
167,65.0,Joker,Todd Phillips,2019.0,122.0,Thriller,8.4,59.0,335.45
171,67.0,Avengers: Infinity War,Anthony Russo,2018.0,149.0,Acción,8.4,68.0,678.82
172,67.0,Avengers: Infinity War,Anthony Russo,2018.0,149.0,Aventura,8.4,68.0,678.82
173,67.0,Avengers: Infinity War,Anthony Russo,2018.0,149.0,Ciencia Ficción,8.4,68.0,678.82
205,80.0,Capernaum,Nadine Labaki,2018.0,126.0,Drama,8.4,75.0,1.66
219,86.0,Kaithi,Lokesh Kanagaraj,2019.0,145.0,Acción,8.4,0.0,0.0
220,86.0,Kaithi,Lokesh Kanagaraj,2019.0,145.0,Aventura,8.4,0.0,0.0
221,86.0,Kaithi,Lokesh Kanagaraj,2019.0,145.0,Crimen,8.4,0.0,0.0
222,87.0,Sardar Udham,Shoojit Sircar,2021.0,164.0,Biografía,8.4,0.0,0.0
223,87.0,Sardar Udham,Shoojit Sircar,2021.0,164.0,Crimen,8.4,0.0,0.0
224,87.0,Sardar Udham,Shoojit Sircar,2021.0,164.0,Drama,8.4,0.0,0.0
225,88.0,Asuran,Vetrimaaran,2019.0,141.0,Acción,8.4,0.0,0.0
226,88.0,Asuran,Vetrimaaran,2019.0,141.0,Drama,8.4,0.0,0.0
227,89.0,Drishyam 2,Jeethu Joseph,2021.0,152.0,Crimen,8.4,0.0,0.0
228,89.0,Drishyam 2,Jeethu Joseph,2021.0,152.0,Drama,8.4,0.0,0.0
229,89.0,Drishyam 2,Jeethu Joseph,2021.0,152.0,Thriller,8.4,0.0,0.0
230,90.0,Top Gun: Maverick,Joseph Kosinski,2022.0,130.0,Acción,8.3,78.0,718.73
231,90.0,Top Gun: Maverick,Joseph Kosinski,2022.0,130.0,Drama,8.3,78.0,718.73
267,107.0,Hamilton,Thomas Kail,2020.0,160.0,Biografía,8.3,89.0,0.0
268,107.0,Hamilton,Thomas Kail,2020.0,160.0,Drama,8.3,89.0,0.0
269,107.0,Hamilton,Thomas Kail,2020.0,160.0,Historia,8.3,89.0,0.0
317,127.0,Kantara,Rishab Shetty,2022.0,148.0,Acción,8.3,0.0,0.0
318,127.0,Kantara,Rishab Shetty,2022.0,148.0,Aventura,8.3,0.0,0.0
319,127.0,Kantara,Rishab Shetty,2022.0,148.0,Drama,8.3,0.0,0.0
329,132.0,K.G.F: Chapter 2,Prashanth Neel,2022.0,168.0,Acción,8.3,0.0,6.6
330,132.0,K.G.F: Chapter 2,Prashanth Neel,2022.0,168.0,Crimen,8.3,0.0,6.6
331,132.0,K.G.F: Chapter 2,Prashanth Neel,2022.0,168.0,Drama,8.3,0.0,6.6
332,133.0,Vikram,Lokesh Kanagaraj,2022.0,175.0,Acción,8.3,0.0,0.0
333,133.0,Vikram,Lokesh Kanagaraj,2022.0,175.0,Crimen,8.3,0.0,0.0
334,133.0,Vikram,Lokesh Kanagaraj,2022.0,175.0,Thriller,8.3,0.0,0.0
335,134.0,Chhichhore,Nitesh Tiwari,2019.0,143.0,Comedia,8.3,0.0,0.9
336,134.0,Chhichhore,Nitesh Tiwari,2019.0,143.0,Drama,8.3,0.0,0.9
337,134.0,Chhichhore,Nitesh Tiwari,2019.0,143.0,Romance,8.3,0.0,0.9
341,136.0,Shershaah,Vishnuvardhan,2021.0,135.0,Acción,8.3,0.0,0.0
342,136.0,Shershaah,Vishnuvardhan,2021.0,135.0,Biografía,8.3,0.0,0.0
343,136.0,Shershaah,Vishnuvardhan,2021.0,135.0,Drama,8.3,0.0,0.0
344,137.0,Raatchasan,Ram Kumar,2018.0,170.0,Acción,8.3,0.0,0.0
345,137.0,Raatchasan,Ram Kumar,2018.0,170.0,Crimen,8.3,0.0,0.0
346,137.0,Raatchasan,Ram Kumar,2018.0,170.0,Drama,8.3,0.0,0.0
350,139.0,Guardians of the Galaxy Vol. 3,James Gunn,2023.0,150.0,Acción,8.2,64.0,0.0
351,139.0,Guardians of the Galaxy Vol. 3,James Gunn,2023.0,150.0,Aventura,8.2,64.0,0.0
352,139.0,Guardians of the Galaxy Vol. 3,James Gunn,2023.0,150.0,Comedia,8.2,64.0,0.0
358,142.0,Spider-Man: No Way Home,Jon Watts,2021.0,148.0,Acción,8.2,71.0,804.75
359,142.0,Spider-Man: No Way Home,Jon Watts,2021.0,148.0,Aventura,8.2,71.0,804.75
360,142.0,Spider-Man: No Way Home,Jon Watts,2021.0,148.0,Fantasía,8.2,71.0,804.75
378,150.0,1917,Sam Mendes,2019.0,119.0,Acción,8.2,78.0,159.23
379,150.0,1917,Sam Mendes,2019.0,119.0,Drama,8.2,78.0,159.23
380,150.0,1917,Sam Mendes,2019.0,119.0,Guerra,8.2,78.0,159.23
392,156.0,Green Book,Peter Farrelly,2018.0,130.0,Biografía,8.2,69.0,85.08
393,156.0,Green Book,Peter Farrelly,2018.0,130.0,Comedia,8.2,69.0,85.08
394,156.0,Green Book,Peter Farrelly,2018.0,130.0,Drama,8.2,69.0,85.08
411,163.0,The Father,Florian Zeller,2020.0,97.0,Drama,8.2,88.0,0.0
412,163.0,The Father,Florian Zeller,2020.0,97.0,Misterio,8.2,88.0,0.0
439,173.0,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,2020.0,117.0,Animación,8.2,72.0,47.7
440,173.0,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,2020.0,117.0,Acción,8.2,72.0,47.7
441,173.0,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,2020.0,117.0,Aventura,8.2,72.0,47.7
450,177.0,Klaus,Sergio Pablos,2019.0,96.0,Animación,8.2,65.0,0.0
451,177.0,Klaus,Sergio Pablos,2019.0,96.0,Aventura,8.2,65.0,0.0
452,177.0,Klaus,Sergio Pablos,2019.0,96.0,Comedia,8.2,65.0,0.0
